speed,accel,angular/100
304.24,8.21335,0.00328174
325.175,8.84673,0.00312103
343.089,8.91201,0.002222
363.144,9.01472,0.00275236
395.421,8.90058,0.00209681
400.928,8.83813,0.00192023
421.969,8.99356,0.00174779
457.191,8.31372,0.00174931
465.168,8.31859,0.00215009
483.29,8.28927,0.00199087
519.986,8.3321,0.00175862
538.314,8.74818,0.00139952
559.866,8.88905,0.00127245
578.453,8.90866,0.00141773
597.418,9.05324,0.00110677
612.353,8.95289,0.00141641
621.716,9.05576,0.00112377
659.208,8.89066,0.00117109
668.289,9.10263,0.000880476
687.039,8.55342,0.00145095
718.374,8.52248,0.00126037
735.57,8.57124,0.00133481
755.348,9.02493,0.000939381
775.738,8.93853,0.00111342
785.733,9.10907,0.00079398
306.795,8.82026,0.00336845
335.545,8.78804,0.00242179
347.8,8.78638,0.00227955
360.007,8.70188,0.00221572
381.393,8.52259,0.00233729
417.801,8.73697,0.00186964
438.697,8.90494,0.0015093
458.015,8.9237,0.00160884
472.494,8.92759,0.00157366
480.051,8.87235,0.00164756
500.903,8.8133,0.00167087
522.219,8.67909,0.00148655
558.766,8.70904,0.00137151
573.317,8.75054,0.00125615
598.616,9.07573,0.00108847
612.938,8.98322,0.00124385
622.266,8.47853,0.00143164
660,8.33912,0.00147267
679.986,8.51863,0.00135821
692.614,8.60653,0.00123438
710.332,8.66911,0.00141935
735.745,9.08509,0.00100206
749.609,9.06202,0.000895778
760.046,8.88126,0.000969356
799.063,8.64908,0.00111466
319.972,8.13939,0.00382062
334.5,8.89058,0.00216619
356.648,8.91748,0.00213228
371.557,8.96833,0.00212511
393.941,8.92073,0.00201015
416.372,8.76394,0.00187536
420.213,7.99944,0.00235316
458.136,8.94477,0.00169013
478.778,8.74369,0.00157871
496.905,8.93619,0.001385
518.34,9.09874,0.00140559
525.277,9.02115,0.00127522
542.025,8.94671,0.00131782
560.682,8.92185,0.00123826
588.804,9.06299,0.00115104
616.325,8.99985,0.00122118
620.077,8.72595,0.00130336
651.992,8.92121,0.00117976
671.581,8.8101,0.00119393
699.33,8.94539,0.000977003
704.901,9.10985,0.00102005
726.61,9.10471,0.00086918
740.248,9.06009,0.000948047
772.124,9.03625,0.000893137
784.686,8.9982,0.000979991