speed,accel,angular acc / 100 rads
307.996,9.79001,0.00260822
334.508,10.0053,0.0021437
390.241,9.87415,0.00207468
414.676,9.96531,0.00179176
420.361,9.57752,0.00206782
448.269,10.0579,0.00183143
460.019,9.90463,0.00146578
488.006,10.0008,0.00130458
519.876,9.3587,0.00160585
525.068,10.0123,0.00114614
545.516,10.0677,0.00124057
565.319,10.0308,0.00116766
581.053,9.49922,0.00162394
615.507,10.0696,0.00110163
629.688,9.92502,0.00108158
658.327,9.98331,0.000853752
667.805,10.0161,0.00124976
692.899,10.0618,0.00101206
710.395,10.0312,0.00112633
738.083,9.91855,0.000761239
749.469,10.1289,0.000932905
767.281,10.1916,0.000805947
800.846,10.0642,0.0006809
805.12,10.0724,0.000949776
835.09,10.0584,0.00092791
842.299,10.1457,0.000635196
864.95,10.1211,0.00070071
898.121,10.1946,0.000645538
914.369,10.0712,0.000616842
920.093,10.1661,0.000631251
943.42,9.90254,0.000729041
970.441,10.0588,0.000802403
997.369,9.94195,0.000733682
319.746,9.1351,0.00285958
336.126,9.84343,0.00247274
348.679,10.044,0.0024011
395.149,9.97178,0.0016601
400.756,9.49361,0.00232181
421.239,9.03833,0.00254971
442.61,9.86616,0.00142898
463.887,9.13429,0.00208478
499.858,9.23622,0.00186694
519.937,9.50923,0.00180213
532.179,9.5844,0.00161262
559.758,9.70728,0.00122758
577.754,9.93089,0.00102769
594.437,10.0329,0.00102766
602.422,9.93371,0.00119647
625.184,9.3978,0.0015851
648.122,10.081,0.00113889
676.248,9.6491,0.00131703
699.849,10.0311,0.00088136
701.008,10.0501,0.000905762
725.579,10.0826,0.000958664
755.692,10.0851,0.000825062
760.579,9.65371,0.0010167
799.214,9.58967,0.00105018
814.285,10.1314,0.00107557
839.923,9.77143,0.000830735
854.458,9.92235,0.00087041
863.703,9.93295,0.00109701
892.207,10.0821,0.000747232
903.676,10.0958,0.000828406
934.321,9.93853,0.000893553
947.421,9.91111,0.000747232
970.542,9.78459,0.00100041
991.38,9.7923,0.000958493
315.834,9.98781,0.00257108
335.969,9.95879,0.0023427
345.059,9.92695,0.00219458
364.25,9.9782,0.00231569
399.836,10.0021,0.00195173
400.661,10.2877,0.00195391
420.688,9.9937,0.00170289
441.915,9.96023,0.00162378
463.129,10.0334,0.00144061
490.396,9.84824,0.00153268
519.192,10.0371,0.00125005
520.343,9.78418,0.00147376
552.702,9.94961,0.00123242
579.52,9.54495,0.00159399
599.078,10.0623,0.00105293
616.128,10.1083,0.00111993
636.69,10.0834,0.00120378
657.035,10.0525,0.00106105
664.059,10.0923,0.00107634
683.643,10.0761,0.000893143
712.584,10.1176,0.000932244
739.932,9.73269,0.0011127
744.651,10.1295,0.000901753
760.088,9.90122,0.001027
800.433,9.94864,0.000865167
809.792,10.08,0.000847555
839.691,10.1782,0.000804181
842.416,10.0532,0.000848358
870.777,10.1462,0.000932368
892.249,10.0718,0.000839237
912.526,10.0568,0.00055796
934.133,10.2324,0.000750276
941.342,10.095,0.000717568
964.711,10.1814,0.000770086
984.387,10.0682,0.00076318
308.822,9.77643,0.00277922
330.14,10.201,0.00210503
341.584,9.27832,0.0025894
378.713,9.68316,0.00240059
388.954,9.78432,0.00210786
409.312,9.96313,0.00185517
439.318,10.005,0.00185756
459.919,9.97568,0.0016816
460.69,9.99988,0.00135817
499.244,9.98296,0.00121747
511.301,9.95993,0.00138366
539.979,9.32759,0.0017052
559.981,10.0216,0.00116505
571.188,10.0341,0.00127019
599.702,9.8286,0.00137833
609.612,9.97376,0.00136432
621.041,9.81087,0.00123886
650.744,9.80035,0.00130513
660.972,9.73903,0.00120686
697.011,10.062,0.000991471
715.206,10.068,0.00102111
721.346,9.70885,0.00108999
759.588,9.65592,0.00115691
779.442,9.93062,0.000818456
794.733,10.0647,0.000825131
814.397,10.0669,0.000675256
827.239,10.0906,0.000805991
853.668,10.0024,0.000873479
867.645,9.99648,0.000818693
902.77,10.0919,0.000808382
929.835,10.1602,0.000890035
948.21,10.1119,0.000731855
979.974,10.09,0.00069224
982.313,10.0962,0.000810682
317.234,9.57396,0.00248045
333.167,9.9371,0.00241427
340.101,10.007,0.00219894
364.46,9.92105,0.0023031
384.105,9.95619,0.00185347
414.759,9.81503,0.00179992
421.992,9.83347,0.00176501
459.548,9.84777,0.00184055
465.901,9.80319,0.00166831
482.986,9.75369,0.00152187
517.909,9.87266,0.00131934
538,10.024,0.00120264
555.493,10.0393,0.00113057
569.883,10.0537,0.00130466
580.761,10.0447,0.00118072
600.835,10.0803,0.00106844
639.603,9.96786,0.00110731
643.866,10.0634,0.00120172
678.734,10.0379,0.00108372
684.984,10.0594,0.000959925
706.824,10.0628,0.000894159
736.342,10.0572,0.00106968
740.976,10.1086,0.00114692
761.231,10.1122,0.000807789
786.225,10.0489,0.000789371
807.314,10.1051,0.000962005
822.883,10.0786,0.000831747
844.354,10.1988,0.000731464
860.274,10.0695,0.000765379
912.657,10.1108,0.000819851
946.901,9.97977,0.000960672
968.983,9.91733,0.00103751
991.01,9.94618,0.000956576
316.413,9.67835,0.0026576
338.545,9.77783,0.00327163
344.079,10.1609,0.00249452
378.235,9.45883,0.0022731
383.274,9.88229,0.00207652
417.668,9.9364,0.00178653
422.925,9.62453,0.00201658
441.893,9.55135,0.00192811
464.714,9.46389,0.0018319
492.624,9.46097,0.00181176
518.515,9.7956,0.00162523
539.204,9.91689,0.00135557
553.454,9.94942,0.00110208
560.012,9.95036,0.00129912
586.592,10.0461,0.00108378
601.152,9.87917,0.00126901
638.825,9.9524,0.0011836
642.709,10.053,0.00102159
660.767,10.0872,0.000911006
688.14,9.85656,0.00106231
718.727,10.0236,0.0008506
725.749,10.1031,0.000972671
741.759,10.0966,0.000840831
772.054,10.0867,0.00064497
786.457,10.1705,0.000860434
805.662,10.1426,0.000880864
821.092,9.98038,0.00096368
842.184,9.85406,0.00104905
860.081,9.80327,0.00118984
897.912,9.87287,0.000826323
918.347,10.0022,0.000782232
933.259,10.0839,0.000839638
951.323,10.0457,0.000639168
978.956,10.1607,0.000701101
994.265,9.88119,0.00081749